City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
10,Najran,SA,78.42,17.4924,44.1277,محمد هادي ال فطيح
14,Salinopolis,BR,78.13,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
25,Saint-Paul,RE,75.74,-21.0096,55.2707,Boucan Canot
27,Brus Laguna,HN,76.5,15.75,-84.4833,
41,Atuona,PF,77.54,-9.8,-139.0333,Villa Enata
53,Sao Filipe,CV,79.41,14.8961,-24.4956,Hotel Xaguate
58,Noumea,NC,75.18,-22.2763,166.4572,Hôtel Le Lagon
65,Carutapera,BR,76.15,-1.195,-46.02,Lidera
80,Banda,IN,79.99,25.4833,80.3333,Hotel Comfort-Inn
86,Sibsagar,IN,77.18,26.9833,94.6333,Hotel Brahmaputra
93,Bundaberg,AU,75.49,-24.85,152.35,Takalvan Motel
109,Buraydah,SA,79.45,26.326,43.975,فندق راحة السلام
113,Faanui,PF,79.11,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
120,Praia,CV,79.34,14.9215,-23.5087,LT Aparthotel
123,Matsuura,JP,75.96,33.3271,129.721,山福旅館
127,Iracoubo,GF,79.14,5.4802,-53.2011,Le Gîte d’Iracoubo
129,Biak,ID,79.12,-0.9131,122.8766,Penginapan Kim
142,Sainte-Rose,GP,78.84,16.3324,-61.6979,Villa - Duzer
160,Puerto Escondido,MX,77.83,15.85,-97.0667,Aldea del Bazar Hotel and Spa
161,Meadow Lake,US,78.28,34.8014,-106.5436,TumbleWeed RV Park
163,Airai,TL,78.89,-8.9266,125.4092,Juvinal Martin
170,Kerema,PG,79.7,-7.9631,145.7785,Frena Lodge
172,Anloga,GH,77.27,5.7947,0.8973,Pin Drop Hotel
185,Menomonie,US,75.6,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
209,Mount Hagen,PG,75.2,-5.8581,144.2274,Highlander Hotel & Apartments
243,Marsa Matruh,EG,76.86,31.3525,27.2453,Beau Site
267,Bonthe,SL,75.34,7.5264,-12.505,Bonthe Holiday Village
269,Trinidad,BO,75.88,-14.8333,-64.9,Hotel Piesta
271,Saint-Philippe,RE,75.22,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
274,Lazaro Cardenas,MX,78.57,17.9583,-102.2,quinta antigua
281,Madera,US,77.45,37.1666,-119.8343,
283,Dalmau,IN,79.43,26.0667,81.0333,Tripathi Hotel
293,Mana,GF,79.03,5.6592,-53.7767,LE SAMANA
301,Havelock,US,76.01,34.8791,-76.9013,Sherwood Motel
303,Great Bend,US,75.97,38.3645,-98.7648,Best Western Angus Inn
311,Prainha,BR,75.06,-1.8,-53.48,Casa Rocha
315,Kodama,JP,75.07,36.1833,139.1333,ホテル セントマーチン1st埼玉本庄店
324,Porto Novo,BJ,75.58,6.4965,2.6036,Tour Eiffel Hotel Benin
346,Winslow,US,75.38,35.0242,-110.6974,Best Western Plus Winslow Inn
350,Mumford,GH,75.15,5.2618,-0.759,Spanish Villa
364,Mitsamiouli,KM,76.14,-11.3847,43.2844,Foyer ADM
377,Akdepe,TM,75.29,42.0551,59.3788,Мой дом
379,Yumen,CN,76.51,40.2833,97.2,
380,Gladstone,AU,75.13,-23.85,151.25,Highpoint International
384,Hervey Bay,AU,75.31,-25.2986,152.8535,Shelly Bay Resort
394,Saraland,US,78.31,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
405,Harper,LR,76.75,4.375,-7.7169,Screensaver
407,Sokoni,TZ,76.1,-6.4333,39.55,Ujamaa Beach Resort
417,Kothi,IN,77.63,24.75,80.7833,KILA-THE HERITAGE PALACE
435,Labrea,BR,78.31,-7.2586,-64.7981,Hotel Novo Horizonte
439,Eyl,SO,79.36,7.9803,49.8164,Amiin Hotel
449,Axim,GH,75.31,4.8699,-2.2405,Axim Beach Resort And Spa
459,Shenjiamen,CN,76.5,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
487,Tomatlan,MX,75.13,19.9333,-105.25,El Salvial
490,Forio,IT,75.42,40.7342,13.8646,Hotel Terme Providence
497,Kloulklubed,PW,76.71,7.0419,134.2556,Storyboard Beach Resort
507,Zharkent,KZ,75.83,44.1628,80.0,гостиница Satti
508,Pilar,BR,75.13,-9.5972,-35.9567,Pousada e churrascaria Manguaba
513,Tigzirt,DZ,75.02,36.8886,4.1198,Bloc D tazoumbirt (amar)
525,Adtuyon,PH,75.56,7.8144,124.8557,Adtoyon AG Spring Resort
526,Sinnamary,GF,79.9,5.3833,-52.95,ALETHEIA Appartement Sinnamary
539,Dakar,SN,79.68,14.6937,-17.4441,Redface Studios Meublés
547,Namie,JP,75.97,37.4833,141.0,いこいの村なみえ
551,Laguna,US,75.7,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
569,Andria,IT,75.25,41.2306,16.2909,Cristal Palace Hotel
572,Urumqi,CN,76.15,43.801,87.6005,Hua Ling Grand Hotel Urumqi
578,Ciudad Valles,MX,77.2,21.9833,-99.0167,Hotel Mision Ciudad Valles
582,Alofi,NU,78.22,-19.0595,-169.9187,Taloa Heights
583,Houston,US,78.31,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
585,Zhangye,CN,75.09,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
608,Palmas Bellas,PA,78.93,9.2319,-80.0867,Estación de Chagres
611,Conway,US,78.1,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
615,Luganville,VU,78.84,-15.5333,167.1667,The Espiritu Hotel
617,Korla,CN,78.93,41.7597,86.1469,Gulisitan Hotel
632,Jimo,CN,79.23,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
633,Vaitape,PF,79.12,-16.5167,-151.75,Conrad Bora Bora Nui
634,Fukue,JP,77.94,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
640,Santa Cruz De La Palma,ES,75.34,28.6835,-17.7642,H10 Taburiente Playa
644,Santa Cruz Cabralia,BR,75.43,-16.2781,-39.0247,Puerto Princesa Inn
658,Robertsport,LR,76.23,6.7533,-11.3686,Kwepunha Retreat
668,Innisfail,AU,76.48,-17.5333,146.0333,Moondarra Motel
673,Bull Savanna,JM,76.77,17.8868,-77.5902,Big Red's
674,Sakakah,SA,78.8,29.9697,40.2064,Fakhamat Al Orjoana Apartment
676,Bissau,GW,75.0,11.8636,-15.5977,Hotel Ancar
691,Sarangani,PH,79.11,5.4033,125.4636,Ballistic Islet
692,Kutum,SD,76.57,14.2,24.6667,Dibbo areaمنطقة دبو
694,Kismayo,SO,77.47,-0.3582,42.5454,Agan-Hotel
695,Komsomolskiy,UZ,79.52,40.4272,71.7189,Ikathouse
698,Aksu,CN,76.24,41.1231,80.2644,Pudong Holiday Hotel
700,Acapulco,MX,79.5,16.8634,-99.8901,HS Hotsson Smart Acapulco
706,Moree,AU,75.22,-29.4667,149.85,Molika Springs Motel
707,Dillon,US,77.49,34.4166,-79.3712,Dillon Express Inn
